heuristic,switch_size,simulation_length,packet_delay_average,packet_delay_variance,packet_delay_max,packet_delay_min,queue_length_average,queue_length_variance,queue_length_max,queue_length_min,permutation_matrix_amount_average,permutation_matrix_amount_variance,permutation_matrix_amount_max,permutation_matrix_amount_min,throughput_average,throughput_variance,throughput_max,throughput_min
GLJD,2,5,0.4798206278026906,0.5545255283637314,3.0,0.0,0.7966666666666666,0.4619888888888889,4.0,0.0,2.0,0.0,2.0,2.0,0.7433333333333333,0.014455555555555558,1.0,0.4
GLJD,2,10,0.9208333333333333,1.2562326388888887,5.0,0.0,1.2516666666666667,0.9316638888888887,5.0,0.0,2.0,0.0,2.0,2.0,0.8,0.007833333333333335,1.0,0.65
GLJD,2,15,1.2864864864864864,2.6287363038714386,13.0,0.0,1.6322222222222222,1.490295061728395,7.0,0.0,2.0,0.0,2.0,2.0,0.8222222222222222,0.006469135802469137,0.9666666666666667,0.6666666666666666
GLJD,2,20,1.6071428571428572,3.5103458049886624,13.0,0.0,1.9766666666666666,2.0577888888888887,9.0,0.0,2.0,0.0,2.0,2.0,0.84,0.004441666666666667,0.975,0.65
GLJD,2,25,1.8764568764568765,5.2427013545894665,23.0,0.0,2.266,2.6179106666666665,11.0,0.0,2.0,0.0,2.0,2.0,0.858,0.004622666666666666,0.98,0.62
GLJD,2,30,2.1209213051823417,6.47866018766509,23.0,0.0,2.5194444444444444,3.108510802469136,11.0,0.0,2.0,0.0,2.0,2.0,0.8683333333333334,0.0033953703703703685,0.9833333333333333,0.6833333333333333
GLJD,2,35,2.3159912376779848,7.893030151073276,30.0,0.0,2.783333333333333,3.6982936507936506,12.0,0.0,2.0,0.0,2.0,2.0,0.8695238095238095,0.0032072562358276637,0.9714285714285714,0.7142857142857143
GLJD,2,40,2.5741535526943253,9.613123091347655,30.0,0.0,3.0429166666666667,4.397741493055556,15.0,0.0,2.0,0.0,2.0,2.0,0.87375,0.003086979166666667,0.9625,0.7125
GLJD,2,45,2.8772151898734175,12.974375367195426,34.0,0.0,3.2962962962962963,5.20480109739369,17.0,0.0,2.0,0.0,2.0,2.0,0.8777777777777779,0.003061728395061728,0.9666666666666667,0.6888888888888889
GLJD,2,50,3.1176027139087825,14.783003374768361,34.0,0.0,3.535,6.006775,17.0,0.0,2.0,0.0,2.0,2.0,0.8843333333333333,0.002711222222222222,0.97,0.72
GLJD,2,55,3.3061711558131606,16.732034879672614,39.0,0.0,3.7581818181818183,6.70213002754821,17.0,0.0,2.0,0.0,2.0,2.0,0.8887878787878787,0.0022351698806244258,0.9727272727272728,0.7454545454545455
GLJD,2,60,3.542367601246106,19.76845420754845,52.0,0.0,3.973888888888889,7.352651543209878,17.0,0.0,2.0,0.0,2.0,2.0,0.8916666666666668,0.0018055555555555553,0.95,0.7666666666666667
GLJD,2,65,3.718374356038924,21.230933132897057,52.0,0.0,4.177948717948718,7.932436817882972,17.0,0.0,2.0,0.0,2.0,2.0,0.8958974358974356,0.0015768573307034844,0.9538461538461539,0.7769230769230769
GLJD,2,70,3.912536443148688,23.46226796348769,60.0,0.0,4.38047619047619,8.542380725623584,17.0,0.0,2.0,0.0,2.0,2.0,0.8983333333333333,0.0013730725623582768,0.9571428571428572,0.7928571428571428
GLJD,2,75,4.065072713827952,24.897909983620764,60.0,0.0,4.572666666666667,9.165608444444445,20.0,0.0,2.0,0.0,2.0,2.0,0.9015555555555557,0.0013916543209876535,0.96,0.78
GLJD,2,80,4.266405710338476,27.920508540902226,60.0,0.0,4.757916666666667,9.810978993055556,22.0,0.0,2.0,0.0,2.0,2.0,0.9047916666666665,0.001361154513888889,0.9625,0.775
GLJD,2,85,4.470054054054054,31.074184321402484,60.0,0.0,4.9372549019607845,10.45449442522107,22.0,0.0,2.0,0.0,2.0,2.0,0.906862745098039,0.001305843906189927,0.9647058823529412,0.7823529411764706
GLJD,2,90,4.687487283825026,34.10538768422283,60.0,0.0,5.108888888888889,11.081106172839505,22.0,0.0,2.0,0.0,2.0,2.0,0.9101851851851851,0.001197702331961592,0.9666666666666667,0.7944444444444444
GLJD,2,95,4.869164265129683,35.91352562239257,60.0,0.0,5.270701754385965,11.650755647891659,23.0,0.0,2.0,0.0,2.0,2.0,0.9131578947368421,0.0011629732225300088,0.968421052631579,0.7947368421052632
GLJD,2,100,5.030534351145038,37.90710109578474,60.0,0.0,5.421166666666666,12.172451972222223,24.0,0.0,2.0,0.0,2.0,2.0,0.9170000000000001,0.0010893333333333323,0.97,0.8
GLJD,3,5,1.0169491525423728,1.1098822177535193,4.0,0.0,1.6133333333333333,0.7527111111111112,4.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.5244444444444444,0.015920987654320984,0.8,0.26666666666666666
GLJD,3,10,1.873134328358209,3.5174871909111167,9.0,0.0,2.5122222222222224,1.9631839506172837,7.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.5955555555555556,0.007906172839506169,0.8,0.43333333333333335
GLJD,3,15,2.636904761904762,6.262209467120181,12.0,0.0,3.334074074074074,3.6283945130315503,9.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.6222222222222221,0.008526748971193415,0.8222222222222222,0.4444444444444444
GLJD,3,20,3.518828451882845,10.577678962203043,17.0,0.0,4.095555555555555,5.509758024691358,11.0,0.0,3.433333333333333,0.2455555555555556,4.0,3.0,0.6638888888888889,0.006557098765432096,0.8166666666666667,0.5
